logsales	lnsqheat	lnsqunht	bedrooms	acres	age	totbaths	numgarge	numfirep	daysmkt	closespr	closesum	closefal	salespr	basement	diningrm	familyrm	office	patio	deck	porch	stycontm	styranch	stytradt	stytrans	brick	cedar	fiber	hardwood	vinyl	elecheat	elemdist	middist	highdist	onestory	sqftheat	squnheat
12.45683136	7.848543	0	4	0.31	3	2.5	2	1	84	0	0	0	257000	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	2.4345	6.615	2.1222	0	2562	0
11.60823564	6.901737	0	3	0.21	20	2	0	0	146	0	0	0	110000	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	2.1021	6.9569	2.4416	1	994	0
12.79107767	7.702556	6.084499	3	0.69	37	2	0	2	113	0	0	0	359000	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1.1458	1.1634	0.7958	1	2214	439
13.04979268	7.997999	0	4	1.2	1	3.5	2	1	203	0	0	1	465000	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1.1379	1.8303	1.4046	0	2975	0
12.18075484	7.34601	0	3	0.26	23	2	0	1	102	0	0	0	195000	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0.9952	1.8728	1.2132	1	1550	0
12.30092818	7.659643	0	3	0.61	1	2.5	2	1	78	0	0	0	219900	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0.8815	0.2855	2.2326	0	2121	0
12.27373129	7.522941	0	3	0.2	17	2	0	1	114	0	0	0	214000	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0.9176	0.3272	3.9114	0	1850	0
12.20607265	7.467371	0	3	0	17	2	0	1	135	0	0	0	200000	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0.8985	0.315	3.9253	0	1750	0
13.16013689	8.129175	0	5	0.51	0	3.5	2	1	146	0	0	0	519248	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	2.684	1.4959	0.6196	0	3392	0
12.53896706	7.342779	5.703782	4	0.75	37	3	0	1	37	0	0	0	279000	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1.1195	1.192	1.114	1	1545	300
13.0867362	8.159089	0	5	0.55	0	4.5	2	1	404	0	0	1	482500	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2.6961	1.5144	0.6167	0	3495	0
12.31268238	7.668094	0	3	1.48	17	2.5	2	1	128	1	0	0	222500	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	2.7649	8.7921	2.441	0	2139	0
12.02574909	7.128496	5.278115	3	0.48	44	1	0	1	111	0	0	0	167000	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0.8821	1.1959	1.2084	1	1247	196
13.21767356	8.151622	6.139885	4	0.46	3	3.5	2	1	90	0	0	0	550000	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1.6119	2.5634	2.7383	0	3469	464
12.52452638	7.689829	0	4	0.4	26	2.5	0	2	163	1	0	0	275000	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0.7236	0.7368	1.2119	0	2186	0
11.8913619	7.118826	3.970292	2	0.03	20	1.5	0	1	0	1	0	0	146000	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0.8138	1.2049	1.521	0	1235	53
12.34147728	7.667626	0	4	0.18	16	3	2	1	16	0	0	0	229000	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.6156	0.6229	1.3546	0	2138	0
12.82125828	7.955074	6.200509	4	0.48	5	2.5	2	1	47	0	0	0	370000	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0.3243	0.7906	3.3012	0	2850	493
12.02375309	7.233455	6.122493	2	2.28	20	1	0	1	117	0	0	0	166667	0	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0.8123	3.7674	2.088	1	1385	456
13.11231304	7.81682	6.282267	4	2.9	24	3.5	2	2	154	0	0	0	495000	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	3.5174	3.8482	1.41	0	2482	535
12.46843691	7.683404	5.703782	4	0.31	84	3	0	1	254	0	1	0	260000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1.4074	0.7344	3.5525	0	2172	300
12.66032792	7.932362	0	4	0.14	0	3.5	2	1	124	0	0	0	315000	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	3.0199	1.6163	1.074	0	2786	0
12.57716023	7.638198	0	4	0.14	0	2.5	2	1	0	1	0	0	289862	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3.0221	1.6162	1.0788	0	2076	0
12.6456364	7.954372	0	4	0.14	0	3.5	2	1	131	1	0	0	310406	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	3.0207	1.6163	1.0756	0	2848	0
